_____ ____,,,,,,,
,,,,,,,
____ - ________ - 7524,____ ____,02/05/24,,,,,
______ ____,,,,,,,
_____ _____,__ ___ ___,____ ____,____ ____,____ ____,____ _____,____ ____,_____ ____
24/08/2023,___ ___/____/___,8111,_,811,_,1191527,_____ 9  ____ 10
29/10/2023,KSP ______-___,3727,_,155,_,9001193,_____ 7  ____ 24
01/04/2024,_______,238,_,238,_,0001009,
01/04/2024,___ __ ___ ______,63.7,_,63.7,_,0001297,
01/04/2024,____ ____ ___ ____ _,9.9,_,9.9,_,0003077,
02/04/2024,_____ ____,324,_,324,_,0001001,
02/04/2024,_____ NONO,300,_,300,_,0006001,
03/04/2024,___ ____- ____,663.95,_,663.95,_,4000170,
03/04/2024,___ _____ - ________,57,_,57,_,1001005,
03/04/2024,___ __ ___ ______,84.2,_,84.2,_,0001467,
03/04/2024,____ _____ ____,348.67,_,348.67,_,0679843,
03/04/2024,WOLT,226,_,226,_,0060609,
04/04/2024,WOLT,237,_,237,_,0101985,
05/04/2024,_____ ________,30,_,30,_,6001002,
05/04/2024,"_____ ____ __""_- ___",10,_,10,_,8171829,
05/04/2024,"_____ __""_ -_____",1650,_,1650,_,0002001,
05/04/2024,"____ _____ __""_",34,_,34,_,0002001,
05/04/2024,"____ _____ __""_",34,_,34,_,0002001,
07/04/2024,GETT,49.3,_,49.3,_,7015118,
07/04/2024,GETT,45,_,45,_,8001432,
07/04/2024,____ USA,75,_,75,_,1001009,
07/04/2024,WOLT,96,_,96,_,0033448,
08/04/2024,____ USA,75,_,75,_,2001009,
08/04/2024,_____ _____,13,_,13,_,3001121,
09/04/2024,"____ ___ __""_-___",35.9,_,35.9,_,6003266,
09/04/2024,"____ ____ _._ __""_-_",11.9,_,11.9,_,4001188,
09/04/2024,___ __ ___ ______,119.2,_,119.2,_,0001911,
09/04/2024,____ _______ ___ ___,341.55,_,341.55,_,0165539,
10/04/2024,____ USA,75,_,75,_,4001013,
12/04/2024,GETT,71.8,_,71.8,_,2003859,
12/04/2024,"___ ____ __""_",989,_,989,_,2015676,
12/04/2024,_____ _______ 58,63,_,63,_,7001019,
12/04/2024,_____ _____ ______ _,198,_,198,_,0006246,
12/04/2024,_____ _____ ______ _,362,_,362,_,1015636,
14/04/2024,____ ______ ___ ____,1363.24,_,1363.24,_,1134299,
14/04/2024,"_____ _ BIT ___""_",60,_,60,_,8638344,
14/04/2024,___ __ ___ ______,205,_,205,_,0001258,
15/04/2024,_____ ____ ____,92.5,_,92.5,_,0001025,
15/04/2024,_______,202,_,202,_,0001011,
15/04/2024,____ _______ __ ____,434.82,_,434.82,_,0544514,
15/04/2024,___ __ ___ ______,10.9,_,10.9,_,0001396,
15/04/2024,WOLT,166,_,166,_,0105231,
16/04/2024,____-___ _____ _____,32.3,_,32.3,_,2001040,
16/04/2024,WOLT,76,_,76,_,0031417,
16/04/2024,___ _____,1340,_,1340,_,0001018,
16/04/2024,_____ ____,188,_,188,_,0001019,
17/04/2024,"____ ____ _._ __""_-_",41.67,_,41.67,_,1001082,
17/04/2024,"______ ___""_ _____",249,_,249,_,2002004,
17/04/2024,WOLT,180,_,180,_,0054724,
