מקור   ,סיווג          ,תאריך רכישה ,פעולה                   ,סכום חיוב      ,הערות I                                     ,הערות II          ,הערות III,transactionId
7524,ביטוח          ,21/05/2024,מגדל חיים/בריאות        ,48.02,                                            ,                  ,,800
7524,ביטוח          ,21/05/2024,מגדל חיים/בריאות        ,502.32,                                            ,                  ,,801
7524,ביטוח          ,21/05/2024,מגדל חיים/בריאות        ,162.24,                                            ,                  ,,802
7524,רכב ותחבורה    ,21/05/2024,דרך ארץ הוראת קבע       ,14.57,                                            ,                  ,,803
7524,קניות בית      ,21/05/2024,אליהו דגים              ,914,                                            ,                  ,,804
7524,חשבונות        ,21/05/2024,כפר סירקין              ,2273,                                            ,                  ,,805
667127,תם             ,21/05/2024,טעינת כרטיס             ,400,                                            ,                  ,,806
2347,שונות          ,22/05/2024,"גטאין בע""מ-פאיימי    ",107.02,                                            ,                  ,,807
7524,בזבוזים        ,22/05/2024,WOLT                    ,136,                                            ,                  ,,808
667127,תם             ,22/05/2024,טעינת כרטיס             ,200,                                            ,                  ,,809
2347,עמלות          ,23/05/2024,פועלים- דמי כרטיס       ,6.74,"הנחה 6.74       ש""ח                      ",                  ,,810
2347,בזבוזים        ,23/05/2024,פיצה USA                ,85,                                            ,                  ,,811
7524,חוגים          ,23/05/2024,העברה בBIT              ,180,                                            ,                  ,,812
7524,קניות בית      ,23/05/2024,מתוק בלב                ,39,                                            ,                  ,,813
7524,ביטוח          ,23/05/2024,הראל ביטוח חיים         ,539.08,                                            ,                  ,,814
7524,קניות בית      ,24/05/2024,מעדניה שלום             ,39,                                            ,                  ,,815
7524,בזבוזים        ,24/05/2024,מנטה מגשימים            ,73.1,                                            ,                  ,,816
7524,קניות בית      ,24/05/2024,צמרת-שפע פירות וירקו    ,220,                                            ,                  ,,817
7524,קניות בית      ,24/05/2024,בשר איכות               ,302,                                            ,                  ,,818
7524,קניות בית      ,24/05/2024,שוק קט כפר סירקין       ,240,                                            ,                  ,,819
7524,בזבוזים        ,24/05/2024,WOLT                    ,124,                                            ,                  ,,820
7524,תוכנה וחומרה   ,25/05/2024,GITHUB  INC             ,38,                                            ,                  ,,821
2347,רכב ותחבורה    ,26/05/2024,מקוה ישראל              ,40,                                            ,                  ,,822
2347,בזבוזים        ,26/05/2024,גורגינה                 ,60,                                            ,                  ,,823
7524,חשבונות        ,26/05/2024,CELLO                   ,53.8,                                            ,                  ,,824
7524,בזבוזים        ,26/05/2024,טאקריה                  ,440,                                            ,                  ,,825
7524,חשבונות        ,26/05/2024,פנגו חשבונית חודשית     ,86.15,                                            ,                  ,,826
7524,בזבוזים        ,26/05/2024,WOLT                    ,228,                                            ,                  ,,827
7524,חשבונות        ,26/05/2024,APPLE COM BILL          ,129.9,                                            ,                  ,,828
7524,חשבונות        ,26/05/2024,SPOTIFY                 ,29.9,                                            ,                  ,,829
2347,קניות בית      ,27/05/2024,עברית חנות ספרים  20    ,36,                                            ,                  ,,830
